Edu,Age,NS-SeC,Sex,Observation
Level_4,25_34,L12,Female,148955
Level_4,25_34,L12,Male,77474
Level_4,25_34,L13,Female,77980
Level_4,25_34,L13,Male,80593
Level_4,25_34,L14,Female,65552
Level_4,25_34,L14,Male,38288
Level_4,25_34,Students,Female,109738
Level_4,25_34,Students,Male,85041
Level_4,35_49,L1_L3,Female,679262
Level_4,35_49,L1_L3,Male,869835
Level_4,35_49,L4_L6,Female,1024048
Level_4,35_49,L4_L6,Male,655797
Level_4,35_49,L7,Female,328065
Level_4,35_49,L7,Male,123082
Level_4,35_49,L8_L9,Female,188555
Level_4,35_49,L8_L9,Male,245803
Level_4,35_49,L10_L11,Female,50143
Level_4,35_49,L10_L11,Male,92910
Level_4,35_49,L12,Female,166132
Level_4,35_49,L12,Male,79241
Level_4,35_49,L13,Female,86057
Level_4,35_49,L13,Male,92907
Level_4,35_49,L14,Female,85999
Level_4,35_49,L14,Male,40274
Level_4,35_49,Students,Female,50054
Level_4,35_49,Students,Male,26619
Level_4,50_64,L1_L3,Female,392424
Level_4,50_64,L1_L3,Male,659509
Level_4,50_64,L4_L6,Female,724367
Level_4,50_64,L4_L6,Male,483891
Level_4,50_64,L7,Female,223755
Level_4,50_64,L7,Male,87630
Level_4,50_64,L8_L9,Female,154890
Level_4,50_64,L8_L9,Male,224894
Level_4,50_64,L10_L11,Female,33408
Level_4,50_64,L10_L11,Male,71522
Level_4,50_64,L12,Female,132674
Level_4,50_64,L12,Male,65636
Level_4,50_64,L13,Female,52985
Level_4,50_64,L13,Male,79151
Level_4,50_64,L14,Female,50968
Level_4,50_64,L14,Male,45952
Level_4,50_64,Students,Female,11564
Level_4,50_64,Students,Male,7351
Level_4,65+,L1_L3,Female,180591
Level_4,65+,L1_L3,Male,514124
Level_4,65+,L4_L6,Female,559151
Level_4,65+,L4_L6,Male,367622
Level_4,65+,L7,Female,116322
Level_4,65+,L7,Male,53982
Level_4,65+,L8_L9,Female,76273
Level_4,65+,L8_L9,Male,158034
Level_4,65+,L10_L11,Female,16055
Level_4,65+,L10_L11,Male,45168
Level_4,65+,L12,Female,64095
Level_4,65+,L12,Male,36151
Level_4,65+,L13,Female,24552
Level_4,65+,L13,Male,42855
Level_4,65+,L14,Female,64562
Level_4,65+,L14,Male,71981
Level_4,65+,Students,Female,1334
Level_4,65+,Students,Male,1141
Other,16_24,L1_L3,Female,2212
Other,16_24,L1_L3,Male,4705
Other,16_24,L4_L6,Female,9810
Other,16_24,L4_L6,Male,12757
Other,16_24,L7,Female,25967
Other,16_24,L7,Male,14683
Other,16_24,L8_L9,Female,4086
Other,16_24,L8_L9,Male,18224
Other,16_24,L10_L11,Female,4167
Other,16_24,L10_L11,Male,25123
Other,16_24,L12,Female,21201
Other,16_24,L12,Male,16822
Other,16_24,L13,Female,19292
Other,16_24,L13,Male,35464
Other,16_24,L14,Female,9956
Other,16_24,L14,Male,12731
Other,16_24,Students,Female,35339
Other,16_24,Students,Male,37865
Other,25_34,L1_L3,Female,7039
Other,25_34,L1_L3,Male,12562
Other,25_34,L4_L6,Female,22716
Other,25_34,L4_L6,Male,28079
Other,25_34,L7,Female,29786
Other,25_34,L7,Male,16455
Other,25_34,L8_L9,Female,16369
Other,25_34,L8_L9,Male,58884
Other,25_34,L10_L11,Female,9294
Other,25_34,L10_L11,Male,35944
Other,25_34,L12,Female,35751
Other,25_34,L12,Male,26447
Other,25_34,L13,Female,35401
Other,25_34,L13,Male,56735
Other,25_34,L14,Female,23181
Other,25_34,L14,Male,14720
Other,25_34,Students,Female,6545
Other,25_34,Students,Male,5574
Other,35_49,L1_L3,Female,9123
Other,35_49,L1_L3,Male,23228
Other,35_49,L4_L6,Female,25725
Other,35_49,L4_L6,Male,42348
Other,35_49,L7,Female,30624
Other,35_49,L7,Male,17278
Other,35_49,L8_L9,Female,31240
Other,35_49,L8_L9,Male,108407
Other,35_49,L10_L11,Female,11838
Other,35_49,L10_L11,Male,51328
Other,35_49,L12,Female,42152
Other,35_49,L12,Male,34866
Other,35_49,L13,Female,50578
Other,35_49,L13,Male,82477
Other,35_49,L14,Female,31209
Other,35_49,L14,Male,16748
Other,35_49,Students,Female,3778
Other,35_49,Students,Male,2953
Other,50_64,L1_L3,Female,9111
Other,50_64,L1_L3,Male,42810
Other,50_64,L4_L6,Female,34092
Other,50_64,L4_L6,Male,71960
Other,50_64,L7,Female,47312
Other,50_64,L7,Male,33117
Other,50_64,L8_L9,Female,38964
Other,50_64,L8_L9,Male,163088
Other,50_64,L10_L11,Female,11531
Other,50_64,L10_L11,Male,81300
Other,50_64,L12,Female,58107
Other,50_64,L12,Male,57171
Other,50_64,L13,Female,49605
Other,50_64,L13,Male,121933
Other,50_64,L14,Female,23513
Other,50_64,L14,Male,26205
Other,50_64,Students,Female,1053
Other,50_64,Students,Male,1279
Other,65+,L1_L3,Female,12829
Other,65+,L1_L3,Male,78382
Other,65+,L4_L6,Female,82624
Other,65+,L4_L6,Male,124403
Other,65+,L7,Female,125515
Other,65+,L7,Male,58831
Other,65+,L8_L9,Female,49908
Other,65+,L8_L9,Male,203343
Other,65+,L10_L11,Female,21219
Other,65+,L10_L11,Male,149435
Other,65+,L12,Female,97888
Other,65+,L12,Male,82001
Other,65+,L13,Female,66279
Other,65+,L13,Male,154006
Other,65+,L14,Female,60444
Other,65+,L14,Male,106959
Other,65+,Students,Female,557
Other,65+,Students,Male,837
